"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Front\src\HOCs\withLoading.js", "JavaScript", 8, 0, 0, -1, 7
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.js", "JavaScript", 4, 0, 0, -1, 3
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.module.css", "CSS", 0, 12, 0, 3, 15
"c:\Users\Airis\Desktop\Front\src\components\Header.module.css", "CSS", 0, 44, 0, 7, 51
"c:\Users\Airis\Desktop\Front\src\components\MovieList.module.css", "CSS", 0, 4, 0, 3, 7
"c:\Users\Airis\Desktop\Front\src\components\header.js", "JavaScript", 42, 0, -3, 0, 39
"c:\Users\Airis\Desktop\Front\src\css\app.module.css", "CSS", 0, -1, 0, 0, -1
"c:\Users\Airis\Desktop\Front\src\css\styles.module.css", "CSS", 0, 18, 0, 4, 22
"c:\Users\Airis\Desktop\Front\src\pages\Login.js", "JavaScript", 1, 0, 0, 0, 1
"Total", "-", 55, 77, -3, 15, 144