"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Front\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Front\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Airis\Desktop\Front\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 2, 3
"c:\Users\Airis\Desktop\Front\package-lock.json", "JSON", 0, 0, 0, 19422, 0, 0, 1, 19423
"c:\Users\Airis\Desktop\Front\package.json", "JSON", 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\Airis\Desktop\Front\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Airis\Desktop\Front\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Airis\Desktop\Front\src\App.js", "JavaScript", 51, 0, 0, 0, 0, 0, 9, 60
"c:\Users\Airis\Desktop\Front\src\HOCs\withLoading.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Airis\Desktop\Front\src\components\AllMoviesList.js", "JavaScript", 231, 0, 0, 0, 0, 8, 13, 252
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.js", "JavaScript", 126, 0, 0, 0, 0, 0, 12, 138
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.module.css", "CSS", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\Airis\Desktop\Front\src\components\CinemaForm.js", "JavaScript", 65, 0, 0, 0, 0, 0, 11, 76
"c:\Users\Airis\Desktop\Front\src\components\CinemasList.js", "JavaScript", 51, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Airis\Desktop\Front\src\components\CinemasList.module.css", "CSS", 0, 102, 0, 0, 0, 0, 7, 109
"c:\Users\Airis\Desktop\Front\src\components\CommentCard.js", "JavaScript", 68, 0, 0, 0, 0, 0, 6, 74
"c:\Users\Airis\Desktop\Front\src\components\CommentCard.module.css", "CSS", 0, 42, 0, 0, 0, 0, 9, 51
"c:\Users\Airis\Desktop\Front\src\components\CommentForm.js", "JavaScript", 103, 0, 0, 0, 0, 0, 13, 116
"c:\Users\Airis\Desktop\Front\src\components\CommentForm.module.css", "CSS", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Airis\Desktop\Front\src\components\DeleteButton.js", "JavaScript", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Airis\Desktop\Front\src\components\EditButton.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Airis\Desktop\Front\src\components\Header.module.css", "CSS", 0, 89, 0, 0, 0, 0, 17, 106
"c:\Users\Airis\Desktop\Front\src\components\MovieCard.js", "JavaScript", 101, 0, 0, 0, 0, 0, 7, 108
"c:\Users\Airis\Desktop\Front\src\components\MovieDeleteButton.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Airis\Desktop\Front\src\components\MovieEditButton.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Airis\Desktop\Front\src\components\MovieForm.js", "JavaScript", 85, 0, 0, 0, 0, 0, 12, 97
"c:\Users\Airis\Desktop\Front\src\components\MovieList.js", "JavaScript", 255, 0, 0, 0, 0, 0, 22, 277
"c:\Users\Airis\Desktop\Front\src\components\MovieList.module.css", "CSS", 0, 182, 0, 0, 0, 2, 23, 207
"c:\Users\Airis\Desktop\Front\src\components\ReviewCard.js", "JavaScript", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Airis\Desktop\Front\src\components\ReviewCard.module.css", "CSS", 0, 30, 0, 0, 0, 0, 7, 37
"c:\Users\Airis\Desktop\Front\src\components\ReviewForm.js", "JavaScript", 103, 0, 0, 0, 0, 0, 13, 116
"c:\Users\Airis\Desktop\Front\src\components\ReviewForm.module.css", "CSS", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Airis\Desktop\Front\src\components\ScreeningForm.js", "JavaScript", 72, 0, 0, 0, 0, 0, 16, 88
"c:\Users\Airis\Desktop\Front\src\components\ScreeningList.js", "JavaScript", 215, 0, 0, 0, 0, 0, 12, 227
"c:\Users\Airis\Desktop\Front\src\components\ScreeningList.module.css", "CSS", 0, 169, 0, 0, 0, 2, 24, 195
"c:\Users\Airis\Desktop\Front\src\components\header.js", "JavaScript", 155, 0, 0, 0, 0, 1, 7, 163
"c:\Users\Airis\Desktop\Front\src\constants\routes.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Airis\Desktop\Front\src\constants\theme.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Airis\Desktop\Front\src\css\app.module.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Airis\Desktop\Front\src\css\styles.module.css", "CSS", 0, 106, 0, 0, 0, 0, 18, 124
"c:\Users\Airis\Desktop\Front\src\hooks\useQuery.js", "JavaScript", 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\Airis\Desktop\Front\src\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Airis\Desktop\Front\src\pages\AddCinema.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\AddMovie.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\AddScreening.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\AllMovies.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Airis\Desktop\Front\src\pages\EditCinema.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\EditMovie.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\EditScreening.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\Home.js", "JavaScript", 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\Airis\Desktop\Front\src\pages\Login.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Airis\Desktop\Front\src\pages\Movies.js", "JavaScript", 33, 0, 0, 0, 0, 1, 9, 43
"c:\Users\Airis\Desktop\Front\src\pages\Register.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Front\src\pages\Screening.js", "JavaScript", 55, 0, 0, 0, 0, 0, 11, 66
"c:\Users\Airis\Desktop\Front\src\services\Delete.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Airis\Desktop\Front\src\services\ErrorBoundary.js", "JavaScript", 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Airis\Desktop\Front\src\services\apiService.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 2095, 788, 1, 19510, 20, 37, 363, 22814